,None_c=3,None_c=4,None_c=5,normalize_c=3,normalize_c=4,normalize_c=5,pca_c=3,pca_c=4,pca_c=5,transform_c=3,transform_c=4,transform_c=5,scale_c=3,scale_c=4,scale_c=5
Silhouette,0.4978256901095472,0.4978256901095472,0.4978256901095472,0.38724679456128813,0.38724679456128813,0.38724679456128813,0.49782569010954697,0.49782569010954697,0.49782569010954697,0.4978256901095472,0.4978256901095472,0.4978256901095472,0.4446273300650682,0.4446273300650682,0.4446273300650682
Calinski-Harabasz,529.3982941434156,529.3982941434156,529.3982941434156,205.94996870333947,205.94996870333947,205.94996870333947,529.3982941434157,529.3982941434157,529.3982941434157,529.3982941434156,529.3982941434156,529.3982941434156,313.18384060584265,313.18384060584265,313.18384060584265
Davies-Bouldin,0.7806400362376101,0.7806400362376101,0.7806400362376101,0.8656046646046744,0.8656046646046744,0.8656046646046744,0.7806400362376079,0.7806400362376079,0.7806400362376079,0.7806400362376101,0.7806400362376101,0.7806400362376101,0.9011266144589232,0.9011266144589232,0.9011266144589232
